Profile,Target distance [m],Target height [m],Optimal holdover,Optimal launch angle [°],best_x_hit [m],best_y_hit [m],Flight time [s],Final speed [m/s],Impact angle [°]
default,10.00,-5.00,0.129,-25.973,10.01,-5.00,0.16,70.62,-27.11
default,10.00,0.00,0.101,0.578,10.01,-0.00,0.14,69.94,-0.57
default,10.00,5.00,0.108,27.059,10.04,5.00,0.16,69.22,25.90
default,12.00,-5.00,0.175,-21.906,12.01,-5.00,0.19,70.59,-23.27
default,12.00,0.00,0.145,0.694,12.04,0.00,0.17,69.91,-0.69
default,12.00,5.00,0.162,23.274,12.02,5.00,0.19,69.19,21.88
default,14.00,-5.00,0.237,-18.789,14.05,-5.00,0.21,70.56,-20.39
default,14.00,0.00,0.198,0.810,14.07,-0.00,0.20,69.88,-0.80
default,14.00,5.00,0.212,20.420,14.04,5.00,0.21,69.16,18.79
default,16.00,-5.00,0.294,-16.391,16.04,-5.00,0.24,70.53,-18.21
default,16.00,0.00,0.258,0.923,16.02,-0.00,0.23,69.85,-0.92
default,16.00,5.00,0.281,18.268,16.01,5.00,0.24,69.13,16.41
default,18.00,-5.00,0.352,-14.478,18.02,-5.00,0.27,70.50,-16.53
default,18.00,0.00,0.326,1.039,18.05,0.00,0.26,69.82,-1.03
default,18.00,5.00,0.344,16.536,18.04,5.00,0.27,69.10,14.44
default,20.00,-5.00,0.435,-12.856,20.05,-5.00,0.29,70.47,-15.14
default,20.00,0.00,0.403,1.156,20.07,0.00,0.29,69.78,-1.15
default,20.00,5.00,0.420,15.164,20.05,5.00,0.30,69.07,12.84
